회차,방영일자,제목,분류,핵심 키워드,경제·마케팅·경영 관점
262,2026-07-06 예정,"지리의 힘! 연간 22조 원의 물길, 운하!",경제/물류,운하·수에즈·파나마·세계 물류,물류 병목과 지정학이 시장을 바꾸는 구조
261,2026-06-29,주식 부동산 열풍! 천재과학자 뉴턴도 실패한 광기의 투자사,경제/투자,주식·부동산·거품경제,투자 열풍과 버블 붕괴의 반복 패턴
260,2026-06-22,미·이란 전쟁이 불러온 공포! 1·2차 오일쇼크의 역사,경제/자원,오일쇼크·석유·인플레이션,원자재 가격이 소비·물가·기업비용에 미치는 영향
254,2026-05-11,히틀러 유품·에펠탑 철거! 황당 사기 스캔들,경제범죄,사기·은행·투자사기,신뢰·권위·유명세를 악용한 사기 구조
250,2026-04-13,미국의 대공황은 어떻게 범죄 커플을 만들었나,경제/사회,대공황·은행강도·불황,불황이 범죄·대중문화·소비심리에 미친 영향
246,2026-03-16,납치·사기·폭력이 판치는 캄보디아 범죄단지,경제범죄/운영,보이스피싱·투자리딩방·로맨스스캠,범죄조직도 운영시스템과 퍼널을 가진다는 경고
236,2026-01-05,"잉카, 나치, 5천억 도난까지! 황금약탈사",경제/자산,금·안전자산·약탈,화폐 불안 시 안전자산이 권력·폭력과 연결되는 방식
223,2025-10-06,4선대통령 루스벨트는 영웅인가 독재자인가?,경제정책/리더십,루스벨트·대공황·권력집중,위기 대응 리더십과 정부개입의 양면
222,2025-09-23,"1,000조 산업! 패스트푸드는 어떻게 세계를 사로잡았나!",마케팅/산업,"패스트푸드·1,000조 산업·현지화",표준화·속도·프랜차이즈·굿즈 마케팅
221,2025-09-16,환락가에서 꿈의 무대로! 브로드웨이 생존기,문화산업,브로드웨이·공연산업·도시재생,범죄지구가 콘텐츠 상권으로 바뀐 과정
217,2025-08-19,"가짜뉴스의 시초, 옐로 저널리즘은 어떻게 대중을 현혹했나!",마케팅/미디어,옐로 저널리즘·조회수·가짜뉴스,주의경제와 자극적 콘텐츠의 수익 모델
216,2025-08-12,성형수술은 인간의 얼굴과 몸을 어떻게 개조했나?,경제/시장,성형수술·77조 시장,욕망·기술·의료서비스가 시장을 만드는 방식
215,2025-08-05,조조부터 트럼프까지! 리더들은 왜 손자병법에 열광하나?,경영/전략,손자병법·리더·전략,군사전략이 경영·외교·협상으로 확장되는 방식
213,2025-07-22,설득인가? 속임수인가? 인류의 삶을 뒤흔든 광고,마케팅/광고,"광고·설득·1,500조 투자비",광고가 산업과 소비행동을 바꾼 역사
211,2025-07-08,밀가루는 어떻게 K-라면이 되었나?,식품산업/브랜드,밀가루·K-라면·글로벌 푸드,원재료가 대중식품과 수출상품이 되는 과정
210,2025-07-01,죄수들의 지옥! 호주는 어떻게 부의 천국이 되었나?,경제/국가성장,호주·자산·자원·식민지,유배지가 부의 천국으로 바뀐 성장 경로
207,2025-06-10,트럼프의 관세전쟁! 관세는 어떻게 세계사를 뒤바꿨나!,경제/무역,관세전쟁·세계무역·중국,관세가 공급망·가격·국제질서를 흔드는 방식
203,2025-05-13,비극의 섬 하와이는 어떻게 세계 최고 휴양지가 되었나?,관광경제,하와이·관광지·식민지,관광 브랜드 뒤의 토지·권력·상업화
197,2025-04-01,"멕시코는 왜 금싸라기 땅, 텍사스와 캘리포니아를 미국에 빼앗겼나!",경제/자원,텍사스·캘리포니아·석유·IT,지역 자원과 산업이 국가경제를 키운 사례
196,2025-03-25,푸틴의 전쟁대행 주식회사! 바그너 그룹,경영/조직,바그너 그룹·민간군사기업,전쟁도 외주화·회사화되는 조직 모델
192,2025-02-25,"트럼프의 적에서 킹 메이커가 된 세계 최고 부자, 일론 머스크!",경영/기업가,일론 머스크·부자·정치후원,"기업가 브랜드, 자본, 정치 영향력"
187,2025-01-21,로제 열풍! 세계 최초의 아파트는 어떻게 탄생했나!,부동산/도시,아파트·현대건축·주거상품,주거 형태가 상품·문화가 되는 과정
186,2025-01-14,흑백요리사(史)! 프랑스는 어떻게 미슐랭을 탄생시켰나?,마케팅/브랜드,미슐랭 가이드·미식문화,타이어 회사의 콘텐츠 마케팅이 권위가 된 사례
184,2024-12-31,뻘밭에서 2천조의 땅으로! 세계 경제의 상징 맨해튼,경제/도시,맨해튼·2천조·세계경제,입지·금융·부동산이 도시가치를 만드는 구조
182,2024-12-17,도쿄수난사! 재난은 어떻게 도쿄를 세계도시로 만들었나!,경제/도시경영,도쿄·재난·세계도시,재난 복구가 도시 경쟁력으로 전환되는 방식
180,2024-12-03,세계 최대 카지노 도시! 마카오의 탄생,관광/카지노경제,마카오·카지노·관광,규제산업과 관광산업의 결합
174,2024-10-22,자유의 나라 네덜란드는 왜 학살을 저질렀나?,경제/무역,네덜란드·대항해·식민지,작은 나라가 무역·금융으로 패권을 만든 방식
173,2024-10-15,바다를 닫아 유럽에게 무너진 세계 패권국가 중국,경제/무역전략,중국·해금정책·해상무역,바다를 닫은 전략이 시장을 잃게 한 사례
172,2024-10-08,"모피를 향한 탐욕이 만든 죽음의 땅, 시베리아",경제/자원,시베리아·모피·검은 황금,자원 수요가 영토 확장과 폭력을 부른 구조
170,2024-09-24,신의 선물인가? 저주인가? 플라스틱의 역습,산업/제품수명,플라스틱·발명·환경비용,혁신 제품의 확산과 외부비용
162,2024-07-30,죽음의 상인 노벨은 왜 노벨상을 만들었나!,경영/혁신,노벨·다이너마이트·노벨상,발명·평판 리스크·유산 설계
161,2024-07-23,죽음의 섬 싱가포르는 어떻게 세계 부국이 되었나?,경제/국가경영,싱가포르·부국·도시국가,작은 시장이 고부가 경제로 성장한 사례
160,2024-07-16,"붕괴된 소련을 집어삼킨 거대 재벌, 올리가르히",경제/재벌,올리가르히·민영화·부의 집중,제도 전환기 자산 사유화와 권력 결합
157,2024-06-25,괴벨스는 어떻게 히틀러를 신으로 만들었나?,마케팅/프로파간다,괴벨스·선동·브랜딩,메시지 반복과 이미지 설계의 위험한 힘
155,2024-06-11,세계 부자 1위는 어떻게 명품 제국을 이루었나?,경영/브랜드,LVMH·명품제국·아르노,인수합병·포트폴리오·럭셔리 브랜드 전략
154,2024-06-04,미국의 상징 콜라는 어떻게 세계를 중독 시켰나,마케팅/브랜드,콜라·코카콜라·세계화,전쟁·유통·브랜딩으로 세계 음료가 된 과정
152,2024-05-21,할리우드에 저항한 최초의 여배우! 마릴린 먼로,문화산업/개인브랜드,마릴린 먼로·할리우드 시스템,스타 IP와 개인 브랜드의 권리 투쟁
145,2024-04-02,"금욕의 땅, 라스베이거스는 어떻게 환락의 도시가 되었나?",관광/도시마케팅,라스베이거스·카지노·환락도시,장소 브랜딩과 규제산업의 도시 성장
